,datetime_jd,datetime_str,Arecibo,Goldstone,Green Bank,Very Large Array,FAST,Canberra DSS-43,EDSCC,Usuda Deep Space Center ,Effelsberg,Lovell,Madrid DSS-63,Parkes,AVN-Ghana
162,2462240.625,2029-Apr-14 03:00,-38.86894650510931,3.788013383163374,-16.346832262794194,-3.3713045914319935,58.605286461598354,23.687589798001966,71.93220541498616,81.54196339181603,-4.177477149498401,-5.335558459313546,-16.80747074125135,26.195454427836808,-40.878385434762095
163,2462240.628,2029-Apr-14 03:05,-39.584247330867015,2.7666252281576504,-17.050091743534196,-4.352938129916893,59.88035683492296,23.682908533930032,72.2371624947479,81.57650351400255,-3.700438906417517,-4.983839784177178,-16.343566307638426,26.195487098650496,-39.95775360991675
164,2462240.632,2029-Apr-14 03:10,-40.426385506875334,1.506217263229587,-17.888803140336123,-5.559928383083374,61.48163098719672,23.589318838674743,72.55539844039562,81.40820944495232,-3.0566944354517176,-4.494579516712463,-15.709085775058512,26.105769658231473,-38.76082026253732
165,2462240.635,2029-Apr-14 03:15,-41.08007169708685,0.5129304558293768,-18.547828404656798,-6.510748452922144,62.7446070816296,23.518481598503598,72.69825028878888,81.06348029601496,-2.552021674453414,-4.111605263758335,-15.206334213611512,26.03626975481648,-37.808962879494544
166,2462240.639,2029-Apr-14 03:20,-41.844165267767664,-0.7151532987797538,-19.33245008711802,-7.681622945087582,64.33509910077927,23.344839551315573,72.80744840019294,80.46130167229344,-1.8741980846958342,-3.584024931792186,-14.524312190962377,25.862339523936825,-36.574678309437246
167,2462240.642,2029-Apr-14 03:25,-42.433342233104696,-1.6807852513938712,-19.946822799972594,-8.601792120509415,65.58665468401992,23.21103102261715,72.78384700040102,79.83008974986704,-1.3439912186982923,-3.1718466154511873,-13.985619722813055,25.726654628434233,-35.59655584836315
168,2462240.646,2029-Apr-14 03:30,-43.11527349936307,-2.876659597099419,-20.676410917118986,-9.736297015219463,67.16689354405597,22.961060267677794,72.68308808933043,78.92851418979272,-0.634558831719616,-2.6083420927511867,-13.259456968434165,25.472455099576408,-34.330515599753994
169,2462240.649,2029-Apr-14 03:35,-43.63696610635108,-3.814888704636431,-21.245594368975702,-10.625771330343966,68.40764607942752,22.767555173103617,72.4988163198476,78.11689061701173,-0.08078964978157899,-2.168911001721966,-12.687556534045228,25.274063384296667,-33.33028486432549
170,2462240.653,2029-Apr-14 03:40,-44.23257775805257,-4.978412255493765,-21.919060198925763,-11.723379994056444,69.9780809569329,22.445098029335085,72.20004378001634,77.03214533351756,0.6579251284831713,-1.5717647757034996,-11.920458654252954,24.94370395891154,-32.03721374993452
171,2462240.656,2029-Apr-14 03:45,-44.68384969097389,-5.889290188959578,-22.44241808293333,-12.581903760524824,71.20857947681506,22.195220685556905,71.86992590650658,76.11492940774494,1.2334036468967753,-1.1069357369746058,-11.317913592708592,24.686163825092223,-31.018367206576016
172,2462240.66,2029-Apr-14 03:50,-45.18919553232581,-7.020157672538602,-23.058640633958632,-13.641909142117328,72.76964968953213,21.804218914544663,71.39495539752365,74.9216803207875,1.9992008871783753,-0.4783377182220079,-10.51289872473302,24.28388748382099,-29.7022289054963
173,2462240.663,2029-Apr-14 03:55,-45.56731690141237,-7.903568638454146,-23.53548878109946,-14.469048214011337,73.99040099091033,21.501308868753895,70.93939369869233,73.94355984065919,2.5946487301112455,0.010126633412397723,-9.88210353448585,23.9707927904618,-28.667692631831187
174,2462240.667,2029-Apr-14 04:00,-45.97880305655761,-9.001242993755568,-24.093293681493364,-15.49049833295858,75.5424688692859,21.045734490669204,70.31502426696282,72.68575827177875,3.3854438202612442,0.6680809913596732,-9.042009897624595,23.50089424322279,-27.33185495356821
175,2462240.67,2029-Apr-14 04:05,-46.281411200040566,-9.85691607423341,-24.522935521118015,-16.28565379542681,76.75394734098526,20.693106494911035,69.7560420360011,71.67249761932877,3.9992293010856628,1.178508956780945,-8.385191852215385,23.135824302071526,-26.284078630307803
176,2462240.674,2029-Apr-14 04:10,-46.59604946487249,-10.920706763902857,-25.021189483546607,-17.26743066792075,78.29737364229717,20.17691669982902,69.0094261090151,70.37587699595186,4.81305886016311,1.8638216102860667,-7.512665860613154,22.602592297380014,-24.931367322755705
177,2462240.677,2029-Apr-14 04:15,-46.82130145977743,-11.748209159068608,-25.40294286937727,-18.029835689123416,79.50000477568793,19.777832740636953,68.36772639270018,69.34256872491953,5.443640132973812,2.3946192795941954,-6.831902611201343,22.189075142466336,-23.87242149249873
178,2462240.681,2029-Apr-14 04:20,-47.036863619298,-12.777223579799667,-25.84055123130318,-18.9706120052806,81.03510095994477,19.204914691135073,67.52348457764862,68.0226378206705,6.278651999538653,3.105389690066289,-5.929409503148321,21.596727136476872,-22.50523978349598
179,2462240.684,2029-Apr-14 04:25,-47.18357182409463,-13.575966226928713,-26.173775995194433,-19.699340296412714,82.22927349698324,18.76254262877194,66.81694813154772,66.97840724282605,6.924581933116087,3.655048899751918,-5.22662453748103,21.138190721500393,-21.43687247425946
180,2462240.688,2029-Apr-14 04:30,-47.29881676578816,-14.569161952292774,-26.549783886525077,-20.59764047580086,83.75630453676789,18.136730906005596,65.8958780651009,65.64482833931575,7.77897884352852,4.389418406685365,-4.296502021031287,20.490881433889385,-20.057292415924536
181,2462240.691,2029-Apr-14 04:35,-47.36656946894479,-15.338413899622239,-26.83392420980718,-21.291626111413578,84.94237557044586,17.654128273667382,65.13916104461633,64.59538016932132,8.438890059270946,4.9565042259913525,-3.5734800009756214,19.990631481734624,-18.98098702826941
182,2462240.694,2029-Apr-14 04:40,-47.399714470375045,-16.09421025270065,-27.096259234380398,-21.969781638702102,86.12448275359935,17.154761008048368,64.36498114986463,63.545539657586744,9.104364505143408,5.530686905997669,-2.842274344789658,19.47304525123465,-17.90191468862109
