,datetime_jd,datetime_str,Canberra DSS-43,Parkes,Madrid DSS-63,Lovell,Effelsberg,AVN-Ghana,Goldstone,Green Bank,Very Large Array,Arecibo,FAST,EDSCC,Usuda Deep Space Center 
10,2462240.097,2029-Apr-13 14:20,27.368829035955528,27.35954086794431,29.179593273559078,29.106905773798132,29.063460475447418,29.101909702552717,28.726833195026586,29.127099785972177,28.83843395662473,29.231781858506505,27.842231620163002,27.974424515135556,27.84079829272011
11,2462240.101,2029-Apr-13 14:25,27.0896361880632,27.080089694413992,28.88586296612594,28.81476312308997,28.768867090551712,28.80413299893137,28.46386987291147,28.8569169236377,28.574843917350996,28.960338556043496,27.545598672984394,27.687641251569687,27.556102117294678
12,2462240.104,2029-Apr-13 14:30,26.810228658949637,26.800477347136564,28.594267083751486,28.524399496111844,28.476626077670737,28.50953708178084,28.19632292844695,28.583601435141798,28.306769277249675,28.686060541126153,27.252293868760248,27.401886507289365,27.272033458323726
13,2462240.108,2029-Apr-13 14:35,26.53220014357778,26.522219022858728,28.29975355230337,28.231647485123876,28.181455900594322,28.21080823335661,27.933248595898117,28.312769934580388,28.04290534533172,28.413685317346392,26.956557348075805,27.11600377798565,26.988382902747457
14,2462240.111,2029-Apr-13 14:40,26.25372918461246,26.243564680541173,28.007557822994496,27.940816972878416,27.888773018143045,27.915488857682917,27.66563285182557,28.038965358550495,27.77463542987916,28.138702826730523,26.663957503755736,26.830957017257372,26.705137245814743
15,2462240.115,2029-Apr-13 14:45,25.976889482844697,25.966524438753034,27.712283369775925,27.64747583484275,27.593051762960535,27.615839279262293,27.402411973944556,27.76746074565838,27.510462279110158,27.865373529150453,26.369170302762114,26.546003774059905,26.42255928041598
16,2462240.118,2029-Apr-13 14:50,25.699380428985606,25.688853994989966,27.419506169808788,27.35619528323574,27.299948066377837,27.319822257051143,27.13470319917301,27.49315041300634,27.241972811540837,27.589671731968004,26.077319903195608,26.261691015848854,26.140161577690225
17,2462240.122,2029-Apr-13 14:55,25.423754321987726,25.41305730951031,27.12349557047647,27.06228736814714,27.003703639779413,27.019286547023903,26.871300830659052,27.220949814625765,26.97745600358132,27.31536845808581,25.78353580773715,25.977696235588528,25.858682946211623
18,2462240.125,2029-Apr-13 15:00,25.147233286058402,25.13639742825926,26.830157687702084,26.770575938862727,26.71020255743872,26.722600215726857,26.603475959656503,26.946118811403764,26.708724021460693,27.038934457562025,25.492481203317855,25.694144837641755,25.577159285891078
19,2462240.128,2029-Apr-13 15:05,24.871164781395056,24.86019980691292,26.536581939283458,26.478682639259855,26.41653486673015,26.425632318916502,26.335604989012147,26.67106438314752,26.439890478290614,26.76218621334733,25.201789069073303,25.410937546755655,25.296029923100487
20,2462240.132,2029-Apr-13 15:10,24.59734065608943,24.586249008336157,26.239562399705108,26.184004356923037,26.119591800452604,26.12389132273698,26.071895541813223,26.39783655450576,26.17483454240483,26.4864630768387,24.909543709881778,25.12837567875464,25.016183749303575
21,2462240.135,2029-Apr-13 15:15,24.322302420799353,24.311104907583726,25.94545977322543,25.891711301985723,25.825564040283673,25.826299800018912,25.803878588323048,26.122243811257547,25.905728970667983,26.20896864563191,24.619717729477447,24.84597177921786,24.73596861880409
22,2462240.139,2029-Apr-13 15:20,24.049757638085342,24.03846488669805,25.64777576637716,25.596530973107598,25.52817625177552,25.523770442358277,25.53990913219206,25.84827381396388,25.640253045801963,25.93223461519196,24.328613350226107,24.564442954946724,24.457290145072722
23,2462240.142,2029-Apr-13 15:25,23.775779865521745,23.764404936088933,25.353172475049426,25.303862224386737,25.233816857921934,25.225590358230452,25.271726623509743,25.572132546506726,25.370856397138905,25.65398687494218,24.03970391669986,24.282872294205834,24.178017570398445
24,2462240.146,2029-Apr-13 15:30,23.504542372716372,23.493104151494663,25.054858628148665,25.008211114467468,24.93602137468161,24.92231893975907,25.00746712185786,25.297405224284233,25.10493182220287,25.376231500992922,23.74979967269681,24.00240824350833,23.90053546869284
25,2462240.149,2029-Apr-13 15:35,23.231657245142358,23.220160927812632,24.759783845125956,24.715193453976642,24.641361610132254,24.62358892796006,24.73910095068625,25.020707332057704,24.835226695333247,25.097225877012992,23.461859668262008,23.721702267218046,23.622235201228406
26,2462240.153,2029-Apr-13 15:40,22.961757098989168,22.950229865080463,24.460877468340055,24.41910522097423,24.343197869813185,24.31962516751192,24.474523647083046,24.745210297684107,24.568827310278532,24.81844207274201,23.173216351730954,23.44233567891181,23.345978987946417
27,2462240.156,2029-Apr-13 15:45,22.689999326231142,22.67843844018556,24.165363348901963,24.125768281758955,24.048271919605337,24.020387232200765,24.205957908381244,24.467950253576788,24.29879862852497,24.53867683718643,22.886301561165478,23.162528041668935,23.06868286434251
28,2462240.16,2029-Apr-13 15:50,22.42146832989907,22.40990928598588,23.86590590000805,23.829280455970615,23.74978337549956,23.71578559358614,23.941036988853092,24.191673981992906,24.031900458917402,24.25886082689545,22.59898304514822,22.884293612023676,22.79368373769326
29,2462240.163,2029-Apr-13 15:55,22.150875849141094,22.139307907053205,23.56998769811503,23.53565677075597,23.45462840815543,23.416085483262293,23.672258175121947,23.913848994911607,23.76153567439628,23.978337397287063,22.313152365358157,22.605420251201057,22.517425797706377
30,2462240.167,2029-Apr-13 16:00,21.88374880431868,21.872215760242554,23.270023983492578,23.23880992362858,23.155861621244423,23.110904651144377,23.406970520078566,23.636787123492628,23.494117645370427,23.69748917073083,22.027225124960534,22.328354390382724,22.243716546623578
31,2462240.17,2029-Apr-13 16:05,21.614363042191634,21.602846112372138,22.97374080101712,22.94493561874986,22.86051854676665,22.810792752453455,23.137967476702862,23.358397296414385,23.223406720912685,23.41621232400972,21.742541280566332,22.05045396215366,21.96853340040273
32,2462240.174,2029-Apr-13 16:10,21.34867777267937,21.337229035704006,22.673320390628025,22.64777480218144,22.561524715426906,22.50509691516681,22.872292802490456,23.080547062146913,22.95545081025294,23.13433594241831,21.458075793552013,21.774595924150766,21.696149373292446
33,2462240.177,2029-Apr-13 16:15,21.080544742464355,21.069137338692432,22.376715050204943,22.353689566160586,22.266038115464674,22.204628024192626,22.60305762355502,22.801595890786615,22.68438703811482,22.852314194672186,21.174605857736196,21.497710497337284,21.42208100271301
34,2462240.181,2029-Apr-13 16:20,20.816343318412997,20.805037560104715,22.075891913832034,22.056263950038378,21.966872680376053,21.898486690450028,22.336979137802153,22.52295842262481,22.41587888247559,22.569418141109857,20.891676736707296,21.223102581107714,21.15106045123806
35,2462240.184,2029-Apr-13 16:25,20.549513832161377,20.53827477703779,21.779012353942946,21.762012296496355,21.67129217774228,21.597721698720115,22.067507029874587,22.24345311546801,22.144458823668383,22.286664223168366,20.60949315914673,20.947278185187148,20.8781506169414
36,2462240.188,2029-Apr-13 16:30,20.286843241227956,20.275739362662158,21.47784573139865,21.464376017912336,21.372015726834036,21.29121066713095,21.801011788786482,21.964033872754435,21.875388075976527,22.002761844242062,20.328180165924348,20.67396653231232,20.608535449995184
37,2462240.191,2029-Apr-13 16:35,20.02137437965938,20.010362683327525,21.180744771334016,21.170007244316075,21.076395896276267,20.99021604238866,21.531302282376682,21.6839859480829,21.603612635105964,21.719293021717704,20.047361689414405,20.39925435114349,20.33683302949492
38,2462240.194,2029-Apr-13 16:40,19.756567545762586,19.745659012737608,20.883572804139998,20.875612777945527,20.78078554003205,20.68915330960278,21.261517816341076,21.403724887082664,21.331709394634302,21.435537446291576,19.767191826578788,20.125073356920474,20.065706296526404
