,datetime_jd,datetime_str,Arecibo Telescope,Goldstone Radio Telescope,Green Bank Interferometer (GBI),Green Bank Telescope (GBT),Green Bank 140 Foot Telescope (140foot),Very Large Array (VLA),Very Long Baseline Array (VLBA),FAST,CDSCC,EDSCC,Tsukuba Space Center ,Usuda Deep Space Center ,GREAT,Okinawa Tracking and Communications Station ,Masuda Tracking and Communications Station ,Katsuura Tracking and Communications Station ,Bisei Space Guard Center,Kamisaibara Space Guard Center ,Uchinoura Space Center 
58,2462240.263888889,2029-Apr-13 18:20,15.680025700727242,15.86817000625657,15.74622945627002,15.746230643610852,15.746181529385781,15.877472608410251,15.877472679543505,14.379037110576164,14.689372602252849,14.82524104258325,14.865684095596698,14.843199514398407,14.843023740799202,14.632889288971375,14.705883780493897,14.861815451435566,14.770621061301448,14.770621061301448,14.712142207203387
59,2462240.267361111,2029-Apr-13 18:25,15.390307855708304,15.598062824055148,15.461968986269612,15.461970342951128,15.461920312679679,15.603752986812612,15.603753288778908,14.123371293086443,14.448222525239593,14.570617188594127,14.615538861459257,14.592781980126384,14.592605602182259,14.383774290357902,14.45616826938995,14.612022773479048,14.519955005384569,14.519955005384569,14.46220296821613
60,2462240.270833333,2029-Apr-13 18:30,15.10063645832091,15.328086512994778,15.177781231915507,15.177782759263332,15.17773184768496,15.330114139939356,15.330114675373155,13.869461005087507,14.208624329680326,14.317314603292996,14.366718202632986,14.343709165922833,14.343532355270094,14.136228785226981,14.207942757539087,14.363561837106987,14.270704511121115,14.270704511121115,14.213745272484658
61,2462240.274305556,2029-Apr-13 18:35,14.811062159992273,15.058279660662723,14.893711261971223,14.893712961209422,14.893661204147472,15.056595535021454,15.05659630648574,13.617394186138826,13.970654738333009,14.06540018209485,14.119286027590745,14.09604596912827,14.095868904749617,13.890326369449161,13.961277747877443,14.116496608962006,14.0229375662704,14.0229375662704,13.966839412979382
62,2462240.277777778,2029-Apr-13 18:40,14.521640628375442,14.78868487720746,14.609808627362485,14.609810499604254,14.609757934019958,14.783240736670269,14.783241746650834,13.367265441031973,13.734396631273679,13.814946193893237,13.873311403533146,13.849862501931069,13.849685370561687,13.64614632517732,13.71624926122012,13.870896214544688,13.776727546228145,13.776727546228145,13.721561191227789
63,2462240.28125,2029-Apr-13 18:45,14.232433173329238,14.519349249032379,14.32612793081101,14.326129977047989,14.326076641111563,14.510097881320576,14.510099132218839,13.119176646895514,13.499939447244879,13.566030808453409,13.628869034255967,13.605234575040397,13.605057571604718,13.403774119546457,13.472939331725984,13.62683541321604,13.532153710323538,13.532153710323538,13.477992414241552
64,2462240.284722222,2029-Apr-13 18:50,13.943507355440332,14.250325032789195,14.0427295802146,14.042731801308252,14.042677734526814,14.237220353181804,14.2372218473085,12.873238090420882,13.267379546381889,13.318739235429017,13.386040308773323,13.362244755007344,13.362068083089959,13.163302438401852,13.231437057530533,13.384395639752821,13.28930227121038,13.28930227121038,13.236221950213823
65,2462240.288194444,2029-Apr-13 18:55,13.654937505003904,13.981669827367082,13.759679971552645,13.759682368220627,13.759627611507119,13.964666986738244,13.964668726305225,12.629568673492194,13.03682137130212,13.073163679746798,13.144913338134094,13.12098240007376,13.120806272423174,12.924831342102992,12.991838703382728,13.14366505105768,13.04826644769605,13.04826644769605,12.996345822624816
66,2462240.291666667,2029-Apr-13 19:00,13.366806009227325,13.713447426090726,13.477052731087854,13.477055303887512,13.476999899693949,13.692502992758449,13.69250497986552,12.388296692310576,12.8083773331927,12.829404123249121,12.905583562664962,12.88154427913211,12.881368918194001,12.688468821179057,12.754248288742414,12.904739119398833,12.809147094264217,12.809147094264217,12.758467808001805
67,2462240.295138889,2029-Apr-13 19:05,13.079203831160184,13.445728360777709,13.194929174845221,13.194931924157,13.194875916603783,13.420800472986999,13.420802709610443,12.149560880191501,12.582169045222575,12.587569223140907,12.668154682361598,12.644035505139026,12.643861143629897,12.454331802713858,12.518778566463341,12.667721567611848,12.572053651775466,12.572053651775466,12.52270041053551
68,2462240.298611111,2029-Apr-13 19:10,12.792231823212449,13.178590710535973,12.913399440361284,12.913402366367615,12.913345801400824,13.149639301366891,13.149641789343187,11.913511120114705,12.35832772804455,12.347776951217961,12.43273919209188,12.408570078241631,12.408396959751387,12.222546681159276,12.285551561843203,12.432724897036978,12.337104702500534,12.337104702500534,12.289165405673023
